"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"327","Official Twitter account for Congressman Richard Hudson -- proudly representing the 8th Congressional District of North Carolina.",2686,5399,642,1300,"http://t.co/xkOnFWGu","Richard Hudson",1352396460,0,1,"RepRichHudson","Concord, NC","en","935033864",335,0,"http://pbs.twimg.com/profile_images/3037881672/dd5c63ea9343041d9deeb0d643ce8562_normal.jpeg"
"328","Official Twitter of U.S. Congressman Robert Pittenger, proudly serving North Carolina's 9th District.",4084,4163,47,1196,"http://t.co/kSQTrO7y","Rep Robert Pittenger",1353007882,0,0,"reppittenger","","en","950328072",306,0,"http://pbs.twimg.com/profile_images/3074858950/78b1ad7b33764bd131f92ef17089bb78_normal.jpeg"
"329","I am a businessman, husband and father proudly representing North Carolina's 11th Congressional District.",2261,7052,166,1572,"http://t.co/dlt2DoDh","Mark Meadows",1353550850,0,1,"RepMarkMeadows","Jackson County, NC","en","963480595",470,0,"http://pbs.twimg.com/profile_images/3121650282/7292de7a1b0c180cdebb9e19152933af_normal.jpeg"
"330","Official Twitter account for Congressman George Holding, representing North Carolina's 13th Congressional District.",563,4549,8,260,"http://t.co/zH2CxxmUzu"," George Holding",1357237656,0,1,"RepHolding","","en","1058460818",331,0,"http://pbs.twimg.com/profile_images/3150091370/d56a137e58b7041e23d74c676f4d5c39_normal.jpeg"
"331","Representing the great people of North Dakota in the United States House of Representatives. Member of @HouseCommerce",1009,4076,53,621,"http://t.co/qcKOjPFIDo","Rep. Kevin Cramer",1356900846,0,1,"RepKevinCramer","","en","1048784496",279,0,"http://pbs.twimg.com/profile_images/378800000016478122/c0ce3488c96566da970bd0ffec2599a5_normal.jpeg"
"332","Honored to serve the people of New Hampshire’s Second District in Congress.",1476,6804,20,4376,"http://t.co/1ApjVskz3y","Ann McLane Kuster",1357244962,0,1,"RepAnnieKuster","NH's 2nd District","en","1058717720",394,0,"http://pbs.twimg.com/profile_images/378800000613548009/634270ae77eef7c27656752dae94acbc_normal.jpeg"
"333","Proudly serving New Mexico's 1st Congressional District. Serving on House Agriculture, Budget and Oversight & Government Reform Committees.",1786,6851,12,424,"http://t.co/JTF7ecJNl5","MichelleLujanGrisham",1357332363,0,1,"RepLujanGrisham","Albuquerque, NM","en","1061385474",304,0,"http://pbs.twimg.com/profile_images/613492635106291712/YkNQRGtl_normal.jpg"
"334","Representing NY's 6th Congressional District- Parts of West, Central and Northeast Queens.",2148,5787,292,621,"http://t.co/P1ajY4Fn","Grace Meng",1356985721,0,1,"RepGraceMeng","","en","1051127714",338,0,"http://pbs.twimg.com/profile_images/3257470174/64291ff1f090e3193c2764925000a1fa_normal.jpeg"
"335","Member of Congress proudly representing the 8th  District of New York",1115,6740,130,612,"http://t.co/kmemTSKwIu","Hakeem Jeffries",1326923684,0,1,"RepJeffries","","en","467823431",369,0,"http://pbs.twimg.com/profile_images/453659156776382464/KbV5QD-T_normal.jpeg"
"336","Proud to represent New York's 18th Congressional District",1474,4225,0,390,"http://t.co/O14V3nEA","Sean Patrick Maloney",1357693233,0,1,"RepSeanMaloney","Cold Spring, NY ","en","1072467470",281,0,"http://pbs.twimg.com/profile_images/3175938831/fe4c18f857c103b53f8603db69c85a88_normal.jpeg"
"337","Proud to represent New York’s 27th Congressional District.  Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce",2306,3340,14,269,"http://t.co/DyQsoHnavE","Rep. Chris Collins",1357232101,0,1,"RepChrisCollins","","en","1058256326",272,0,"http://pbs.twimg.com/profile_images/423193794947715072/vxw8ovyb_normal.jpeg"
"338","US Representative for the people of Ohio's 2nd District, Physician, Army Reservist, Dad, Lifelong Ohioan",2916,3886,443,923,"http://t.co/iBzLgVUTrS","Brad Wenstrup",1331223914,0,1,"RepBradWenstrup","","en","518644221",257,0,"http://pbs.twimg.com/profile_images/378800000172004781/b7b9dc516fbf3a3a1f5bbfff3ae9aa51_normal.png"
